,date,prices_name,price,hub,hub2,unit,currency,price_type,products,id_source,product_type
0,2023-01-02,Czech Virtual Point,70.325,Czech Virtual Point,,MWh,EUR,BID,DA,8,Daily
1,2023-01-02,Czech Virtual Point,71.525,Czech Virtual Point,,MWh,EUR,ASK,DA,8,Daily
2,2023-01-02,Czech Virtual Point_THE,0.5,Czech Virtual Point,THE,MWh,EUR,BID,DA,8,Daily
3,2023-01-02,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,ASK,DA,8,Daily
4,2023-01-02,VTP_TTF,-0.5,VTP,TTF,MWh,EUR,BID,DA,8,Daily
5,2023-01-02,VTP_TTF,1.4,VTP,TTF,MWh,EUR,ASK,DA,8,Daily
6,2023-01-02,THE,69.825,THE,,MWh,EUR,BID,DA,8,Daily
7,2023-01-02,THE,70.525,THE,,MWh,EUR,ASK,DA,8,Daily
8,2023-01-02,SK VTP_CEGH,1.0,SK VTP,CEGH,MWh,EUR,BID,DA,8,Daily
9,2023-01-02,THE_TTF,0.325,THE,TTF,MWh,EUR,BID,DA,8,Daily
10,2023-01-02,THE_TTF,0.4,THE,TTF,MWh,EUR,ASK,DA,8,Daily
11,2023-01-02,TTF,69.5,TTF,,MWh,EUR,BID,DA,8,Daily
12,2023-01-02,TTF,70.125,TTF,,MWh,EUR,ASK,DA,8,Daily
13,2023-01-02,Czech Virtual Point,73.69999999999999,Czech Virtual Point,,MWh,EUR,BID,FEB23,8,Month
14,2023-01-02,Czech Virtual Point,76.05000000000001,Czech Virtual Point,,MWh,EUR,ASK,FEB23,8,Month
15,2023-01-02,Czech Virtual Point_THE,0.1,Czech Virtual Point,THE,MWh,EUR,BID,FEB23,8,Month
16,2023-01-02,Czech Virtual Point_THE,0.9,Czech Virtual Point,THE,MWh,EUR,ASK,FEB23,8,Month
17,2023-01-02,VTP_TTF,0.0,VTP,TTF,MWh,EUR,BID,FEB23,8,Month
18,2023-01-02,VTP_TTF,4.0,VTP,TTF,MWh,EUR,ASK,FEB23,8,Month
19,2023-01-02,THE,73.6,THE,,MWh,EUR,BID,FEB23,8,Month
20,2023-01-02,THE,75.15,THE,,MWh,EUR,ASK,FEB23,8,Month
21,2023-01-02,SK VTP_CEGH,0.3,SK VTP,CEGH,MWh,EUR,BID,FEB23,8,Month
22,2023-01-02,SK VTP_CEGH,2.0,SK VTP,CEGH,MWh,EUR,ASK,FEB23,8,Month
23,2023-01-02,THE_TTF,0.6,THE,TTF,MWh,EUR,BID,FEB23,8,Month
24,2023-01-02,THE_TTF,0.95,THE,TTF,MWh,EUR,ASK,FEB23,8,Month
25,2023-01-02,TTF,73.0,TTF,,MWh,EUR,BID,FEB23,8,Month
26,2023-01-02,TTF,74.2,TTF,,MWh,EUR,ASK,FEB23,8,Month
27,2023-01-02,Czech Virtual Point,76.19999999999999,Czech Virtual Point,,MWh,EUR,BID,MAR23,8,Month
28,2023-01-02,Czech Virtual Point,78.86,Czech Virtual Point,,MWh,EUR,ASK,MAR23,8,Month
29,2023-01-02,Czech Virtual Point_THE,0.1,Czech Virtual Point,THE,MWh,EUR,BID,MAR23,8,Month
30,2023-01-02,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,ASK,MAR23,8,Month
31,2023-01-02,THE,76.1,THE,,MWh,EUR,BID,MAR23,8,Month
32,2023-01-02,THE,77.86,THE,,MWh,EUR,ASK,MAR23,8,Month
33,2023-01-02,SK VTP_CEGH,0.5,SK VTP,CEGH,MWh,EUR,BID,MAR23,8,Month
34,2023-01-02,SK VTP_CEGH,2.0,SK VTP,CEGH,MWh,EUR,ASK,MAR23,8,Month
35,2023-01-02,THE_TTF,0.6,THE,TTF,MWh,EUR,BID,MAR23,8,Month
36,2023-01-02,THE_TTF,0.96,THE,TTF,MWh,EUR,ASK,MAR23,8,Month
37,2023-01-02,TTF,75.5,TTF,,MWh,EUR,BID,MAR23,8,Month
38,2023-01-02,TTF,76.9,TTF,,MWh,EUR,ASK,MAR23,8,Month
39,2023-01-02,Czech Virtual Point,78.3,Czech Virtual Point,,MWh,EUR,BID,APRIL23,8,Month
40,2023-01-02,Czech Virtual Point,81.25,Czech Virtual Point,,MWh,EUR,ASK,APRIL23,8,Month
41,2023-01-02,Czech Virtual Point_THE,0.0,Czech Virtual Point,THE,MWh,EUR,BID,APRIL23,8,Month
42,2023-01-02,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,ASK,APRIL23,8,Month
43,2023-01-02,THE,78.3,THE,,MWh,EUR,BID,APRIL23,8,Month
