,date,prices_name,price,hub,hub2,unit,currency,price_type,products,id_source,product_type
0,2023-01-02,Germany,147.95,Germany,,MWh,EUR,BID,Tue,8,Daily
1,2023-01-02,Germany,148.04999999999998,Germany,,MWh,EUR,ASK,Tue,8,Daily
2,2023-01-02,Czech_base,148.95,Czech_base,,MWh,EUR,BID,Tue,8,Daily
3,2023-01-02,Czech_base,149.04999999999998,Czech_base,,MWh,EUR,ASK,Tue,8,Daily
4,2023-01-02,Hungary_base,169.95,Hungary_base,,MWh,EUR,BID,Tue,8,Daily
5,2023-01-02,Hungary_base,170.04999999999998,Hungary_base,,MWh,EUR,ASK,Tue,8,Daily
6,2023-01-02,Germany,89.95,Germany,,MWh,EUR,BID,WE,8,Daily
7,2023-01-02,Germany,90.05,Germany,,MWh,EUR,ASK,WE,8,Daily
8,2023-01-02,Germany,136.45,Germany,,MWh,EUR,BID,Wk02,8,Week
9,2023-01-02,Germany,136.54999999999998,Germany,,MWh,EUR,ASK,Wk02,8,Week
10,2023-01-02,,739.15,,,MWh,EUR,BID,Wk02,8,Week
11,2023-01-02,,739.25,,,MWh,EUR,ASK,Wk02,8,Week
12,2023-01-02,Germany,191.95,Germany,,MWh,EUR,BID,FEB23,8,Month
13,2023-01-02,Germany,192.04999999999998,Germany,,MWh,EUR,ASK,FEB23,8,Month
14,2023-01-02,Czech_base,208.95,Czech_base,,MWh,EUR,BID,FEB23,8,Month
15,2023-01-02,Czech_base,212.04999999999998,Czech_base,,MWh,EUR,ASK,FEB23,8,Month
16,2023-01-02,Slovak_base,223.95,Slovak_base,,MWh,EUR,BID,FEB23,8,Month
17,2023-01-02,Slovak_base,247.04999999999998,Slovak_base,,MWh,EUR,ASK,FEB23,8,Month
18,2023-01-02,,834.75,,,MWh,EUR,BID,FEB23,8,Month
19,2023-01-02,,834.85,,,MWh,EUR,ASK,FEB23,8,Month
20,2023-01-02,Germany,179.95,Germany,,MWh,EUR,BID,MAR23,8,Month
21,2023-01-02,Germany,180.04999999999998,Germany,,MWh,EUR,ASK,MAR23,8,Month
22,2023-01-02,Czech_base,196.95,Czech_base,,MWh,EUR,BID,MAR23,8,Month
23,2023-01-02,Czech_base,201.04999999999998,Czech_base,,MWh,EUR,ASK,MAR23,8,Month
24,2023-01-02,Slovak_base,216.95,Slovak_base,,MWh,EUR,BID,MAR23,8,Month
25,2023-01-02,Slovak_base,251.04999999999998,Slovak_base,,MWh,EUR,ASK,MAR23,8,Month
26,2023-01-02,,789.95,,,MWh,EUR,BID,MAR23,8,Month
27,2023-01-02,,790.0500000000001,,,MWh,EUR,ASK,MAR23,8,Month
28,2023-01-02,Germany,172.95,Germany,,MWh,EUR,BID,Q223,8,Quarter
29,2023-01-02,Germany,173.04999999999998,Germany,,MWh,EUR,ASK,Q223,8,Quarter
30,2023-01-02,Czech_base,180.95,Czech_base,,MWh,EUR,BID,Q223,8,Quarter
31,2023-01-02,Czech_base,185.04999999999998,Czech_base,,MWh,EUR,ASK,Q223,8,Quarter
32,2023-01-02,Slovak_base,185.95,Slovak_base,,MWh,EUR,BID,Q223,8,Quarter
33,2023-01-02,Slovak_base,205.04999999999998,Slovak_base,,MWh,EUR,ASK,Q223,8,Quarter
34,2023-01-02,Hungary_base,193.95,Hungary_base,,MWh,EUR,BID,Q223,8,Quarter
35,2023-01-02,Hungary_base,194.04999999999998,Hungary_base,,MWh,EUR,ASK,Q223,8,Quarter
36,2023-01-02,,810.85,,,MWh,EUR,BID,Q223,8,Quarter
37,2023-01-02,,810.95,,,MWh,EUR,ASK,Q223,8,Quarter
38,2023-01-02,Germany,200.95,Germany,,MWh,EUR,BID,Q323,8,Quarter
39,2023-01-02,Germany,201.04999999999998,Germany,,MWh,EUR,ASK,Q323,8,Quarter
40,2023-01-02,Czech_base,190.95,Czech_base,,MWh,EUR,BID,Q323,8,Quarter
41,2023-01-02,Czech_base,206.04999999999998,Czech_base,,MWh,EUR,ASK,Q323,8,Quarter
42,2023-01-02,Slovak_base,200.95,Slovak_base,,MWh,EUR,BID,Q323,8,Quarter
43,2023-01-02,Slovak_base,226.04999999999998,Slovak_base,,MWh,EUR,ASK,Q323,8,Quarter
44,2023-01-02,,874.95,,,MWh,EUR,BID,Q323,8,Quarter
45,2023-01-02,,875.0500000000001,,,MWh,EUR,ASK,Q323,8,Quarter
46,2023-01-02,Germany,212.95,Germany,,MWh,EUR,BID,CAL24,8,Year
47,2023-01-02,Germany,213.04999999999998,Germany,,MWh,EUR,ASK,CAL24,8,Year
48,2023-01-02,Czech_base,214.95,Czech_base,,MWh,EUR,BID,CAL24,8,Year
49,2023-01-02,Czech_base,217.04999999999998,Czech_base,,MWh,EUR,ASK,CAL24,8,Year
50,2023-01-02,Slovak_base,224.95,Slovak_base,,MWh,EUR,BID,CAL24,8,Year
51,2023-01-02,Slovak_base,232.04999999999998,Slovak_base,,MWh,EUR,ASK,CAL24,8,Year
52,2023-01-02,,1028.95,,,MWh,EUR,BID,CAL24,8,Year
53,2023-01-02,,1029.05,,,MWh,EUR,ASK,CAL24,8,Year
54,2023-01-02,Germany,159.95,Germany,,MWh,EUR,BID,CAL25,8,Year
55,2023-01-02,Germany,160.04999999999998,Germany,,MWh,EUR,ASK,CAL25,8,Year
56,2023-01-02,Czech_base,157.95,Czech_base,,MWh,EUR,BID,CAL25,8,Year
57,2023-01-02,Czech_base,162.54999999999998,Czech_base,,MWh,EUR,ASK,CAL25,8,Year
58,2023-01-02,Slovak_base,162.95,Slovak_base,,MWh,EUR,BID,CAL25,8,Year
59,2023-01-02,Slovak_base,172.54999999999998,Slovak_base,,MWh,EUR,ASK,CAL25,8,Year
60,2023-01-02,,1099.95,,,MWh,EUR,BID,CAL25,8,Year
61,2023-01-02,,1100.05,,,MWh,EUR,ASK,CAL25,8,Year
62,2023-01-02,Germany,131.05,Germany,,MWh,EUR,BID,CAL26,8,Year
63,2023-01-02,Germany,131.15,Germany,,MWh,EUR,ASK,CAL26,8,Year
64,2023-01-02,Czech_base,129.05,Czech_base,,MWh,EUR,BID,CAL26,8,Year
65,2023-01-02,Czech_base,133.65,Czech_base,,MWh,EUR,ASK,CAL26,8,Year
66,2023-01-02,Slovak_base,134.05,Slovak_base,,MWh,EUR,BID,CAL26,8,Year
67,2023-01-02,Slovak_base,143.65,Slovak_base,,MWh,EUR,ASK,CAL26,8,Year
68,2023-01-02,Germany_Czech,-1.0999999999999943,,Czech,MWh,EUR,BID,Tue,8,Daily
